epoch,mean_Lambda_mean_20,Lambda_total_mean_std_20,Lambda_total_mean_min_20,Lambda_total_mean_max_20,Drive_Raw_mean_mean_20,Drive_Raw_mean_std_20,Drive_Raw_mean_min_20,Drive_Raw_mean_max_20,mean_p_act_mean_20,p_act_mean_std_20,p_act_mean_min_20,p_act_mean_max_20,psi_global_mean_20,Psi_local_mean_std_20,Psi_local_mean_min_20,Psi_local_mean_max_20,mean_v_mean_20,b_i_v_mean_std_20,b_i_v_mean_min_20,b_i_v_mean_max_20,mean_u_mean_20,b_i_u_mean_std_20,b_i_u_mean_min_20,b_i_u_mean_max_20,mean_r_mean_20,b_i_r_mean_std_20,b_i_r_mean_min_20,b_i_r_mean_max_20,rho_mean_20,rho_std_20,Local_Density_mean_min_20,Local_Density_mean_max_20,run_id_20,f_variant,scale_20,probe_id,mean_Lambda_mean_40,Lambda_total_mean_std_40,Lambda_total_mean_min_40,Lambda_total_mean_max_40,Drive_Raw_mean_mean_40,Drive_Raw_mean_std_40,Drive_Raw_mean_min_40,Drive_Raw_mean_max_40,mean_p_act_mean_40,p_act_mean_std_40,p_act_mean_min_40,p_act_mean_max_40,psi_global_mean_40,Psi_local_mean_std_40,Psi_local_mean_min_40,Psi_local_mean_max_40,mean_v_mean_40,b_i_v_mean_std_40,b_i_v_mean_min_40,b_i_v_mean_max_40,mean_u_mean_40,b_i_u_mean_std_40,b_i_u_mean_min_40,b_i_u_mean_max_40,mean_r_mean_40,b_i_r_mean_std_40,b_i_r_mean_min_40,b_i_r_mean_max_40,rho_mean_40,rho_std_40,Local_Density_mean_min_40,Local_Density_mean_max_40,run_id_40,scale_40,rho_mean_ratio,rho_std_ratio,verdict
0,0.3188344334585187,0.0014563665838131,0.3165025911810286,0.3211836700593701,-2.532452891165925,0.0364431552362227,-2.596887757729476,-2.3319426822324623,0.0875297331800108,0.0027125008028938,0.0830315592297809,0.10296359721994,-0.0154,0.1241449136934719,-0.09,1.18,0.7489388602827586,0.000833709575671,0.7476154602827586,0.7503154602827585,0.7494243727816077,0.000833709575671,0.7481009727816077,0.7508009727816076,0.7488916085438769,0.000833709575671,0.747568208543877,0.7502682085438771,0.090425,0.0436701002004249,0.0575,0.4975,flight6_probe1_overcrowding_20x20,F_2_symmetric,20x20,flight6_probe1_overcrowding,0.3221798162143161,0.0009799671263398,0.320519729665264,0.3238793365332232,-2.515697922642736,0.0227566928715872,-2.550670479954249,-2.3382647645871684,0.0889005064869967,0.0017589834634889,0.0863586228508666,0.1029674893619956,-0.0069749999999999,0.1314695950369967,-0.05625,1.2875,0.751258754851705,0.0005676641692578,0.750303467351705,0.7522522173517049,0.7494741122562103,0.0005676641692578,0.7485188247562102,0.7504675747562102,0.7519287610244612,0.0005676641692578,0.7509734735244612,0.7529222235244614,0.09283125,0.0412984157825574,0.071875,0.495625,flight6_probe1_overcrowding_40x40,40x40,1.0266104506497098,0.9456908867398379,variance_reducing_only
1,0.3085897000437189,0.0042381764118943,0.3019407044371379,0.3165614033259785,-2.5815583873251247,0.0335843939307093,-2.6785989158531383,-2.483162563502608,0.0837206958532295,0.0023938418837411,0.0770034764041735,0.0905137401396689,-0.0210875,0.0301687790908013,-0.11,0.105,0.7430472977827586,0.0024828243701931,0.7391404602827586,0.7476354602827585,0.7435328102816077,0.0024828243701931,0.7396259727816077,0.7481209727816076,0.7430000460438769,0.0024828243701931,0.7390932085438771,0.7475882085438771,0.0834812499999999,0.0140751749478303,0.045,0.1175,flight6_probe1_overcrowding_20x20,F_2_symmetric,20x20,flight6_probe1_overcrowding,0.3135230674421904,0.0039575464950901,0.306533978229574,0.3204605966954361,-2.558962613043738,0.0226666865519574,-2.6248655720274545,-2.498507488945619,0.0856184674719838,0.0016749032916163,0.0809754945732449,0.0900506645957006,-0.020396875,0.016005691625024,-0.065,0.035,0.7462333829767048,0.0023107680800086,0.7421309673517049,0.750267217351705,0.7444487403812103,0.0023107680800086,0.7403463247562102,0.7484825747562103,0.7469033891494612,0.0023107680800086,0.7428009735244612,0.7509372235244612,0.0851234375,0.0071489614277061,0.064375,0.101875,flight6_probe1_overcrowding_40x40,40x40,1.019671333383246,0.5079127935676649,variance_reducing_only
2,0.2945613880841226,0.0039523027943579,0.2889648132871079,0.3019724586575827,-2.646371322663509,0.0321318964323594,-2.729334924129252,-2.5505409691724465,0.0791859274194538,0.0021174686319809,0.0739833970449583,0.0858465727295994,-0.01626,0.0289549508436245,-0.095,0.07,0.7345387602827587,0.0024672770866779,0.7309704602827586,0.7391554602827586,0.7350242727816076,0.0024672770866779,0.7314559727816077,0.7396409727816077,0.734491508543877,0.002467277086678,0.7309232085438769,0.7391082085438769,0.07901,0.0132351894765795,0.0475,0.115,flight6_probe1_overcrowding_20x20,F_2_symmetric,20x20,flight6_probe1_overcrowding,0.2985670288612608,0.0045252024204718,0.290992961423882,0.3064972973802836,-2.6280064158049568,0.0243091377562632,-2.682252223267434,-2.565626478673966,0.0805760282876499,0.0016957479761028,0.0769079292327544,0.0850538319167477,-0.0188075,0.0148586296980241,-0.07,0.02875,0.737336802351705,0.0027421551905755,0.7327184673517049,0.7421084673517049,0.7355521597562102,0.0027421551905756,0.7309338247562103,0.7403238247562102,0.7380068085244612,0.0027421551905756,0.7333884735244612,0.7427784735244614,0.08008375,0.0068091571747434,0.060625,0.0975,flight6_probe1_overcrowding_40x40,40x40,1.0135900518921654,0.5144737207421648,variance_reducing_only
3,0.2826431087868308,0.0036427206544546,0.2764569712805991,0.2890452421878128,-2.7037100648526766,0.0324056262332486,-2.7844662024119016,-2.6115874290291345,0.0754517115763674,0.0020663305252929,0.0703516436559213,0.0814510185618651,-0.016,0.0285083400236106,-0.115,0.075,0.7269468102827586,0.002305784902269,0.7230254602827586,0.7310254602827585,0.7274323227816077,0.0023057849022691,0.7235109727816077,0.7315109727816076,0.726899558543877,0.002305784902269,0.722978208543877,0.7309782085438771,0.074085,0.0136784309753675,0.04,0.115,flight6_probe1_overcrowding_20x20,F_2_symmetric,20x20,flight6_probe1_overcrowding,0.283639250062376,0.0041173998437061,0.2766707011511597,0.2909751324549694,-2.695939249750496,0.0234564904354962,-2.757690443450429,-2.629843682370849,0.0759233669150583,0.0015175216132242,0.072012623601504,0.0802547719464756,-0.01808,0.0146927398127923,-0.06375,0.02875,0.7281284073517049,0.0026112726983909,0.7236759673517049,0.7327084673517049,0.7263437647562102,0.0026112726983909,0.7218913247562102,0.7309238247562102,0.7287984135244613,0.0026112726983908,0.7243459735244612,0.7333784735244612,0.07594625,0.0069064627808877,0.056875,0.095625,flight6_probe1_overcrowding_40x40,40x40,1.0251231693325236,0.5049163016814612,variance_reducing_only
4,0.2706230003605434,0.0036212742786855,0.2641538750713001,0.2765308144913348,-2.7547604985578262,0.0310628191941341,-2.83446312305188,-2.654275981150748,0.0721756569736335,0.0019121950882828,0.0673275190778213,0.0784642368694188,-0.01611,0.0266051417424201,-0.105,0.075,0.7192164102827586,0.0023266216891598,0.7150304602827586,0.7230404602827586,0.7197019227816077,0.0023266216891598,0.7155159727816077,0.7235259727816076,0.719169158543877,0.0023266216891599,0.714983208543877,0.722993208543877,0.072425,0.0130373240596862,0.04,0.1125,flight6_probe1_overcrowding_20x20,F_2_symmetric,20x20,flight6_probe1_overcrowding,0.2701927944290591,0.0035914617954127,0.2647380684279923,0.2766662868881404,-2.757289603533764,0.0197573260183335,-2.8038409106744653,-2.7074700219301517,0.0720414369895665,0.0012011779727713,0.069173134832683,0.0751347835501702,-0.0158375,0.0136261904023009,-0.0575,0.035,0.7194111098517049,0.0023787369401491,0.7157659673517048,0.7236709673517049,0.7176264672562102,0.0023787369401492,0.7139813247562102,0.7218863247562102,0.7200811160244612,0.0023787369401492,0.7164359735244612,0.7243409735244611,0.07214,0.0062913282876707,0.05625,0.093125,flight6_probe1_overcrowding_40x40,40x40,0.9960648947186744,0.4825628525354097,variance_reducing_only
5,0.2603456388669076,0.0022764867938712,0.2561607063013182,0.2640776291721526,-2.8032943195323696,0.0253983040962853,-2.867834824347359,-2.706953748906708,0.0691508795071716,0.0014811358048276,0.0655959728191227,0.0749028541955138,-0.01073,0.0252366971246937,-0.095,0.115,0.7124982102827586,0.0015662274817373,0.7095954602827586,0.7149704602827586,0.7129837227816076,0.0015662274817374,0.7100809727816076,0.7154559727816077,0.712450958543877,0.0015662274817372,0.7095482085438769,0.714923208543877,0.06886,0.0121323859804721,0.04,0.11,flight6_probe1_overcrowding_20x20,F_2_symmetric,20x20,flight6_probe1_overcrowding,0.2594472666968081,0.0029536911348866,0.2542657003981128,0.2647140962923052,-2.806495464462768,0.0188868872104561,-2.85562291768331,-2.744393684887927,0.0691019930672211,0.0011011024241416,0.0663248271850175,0.0727268218905023,-0.0143,0.0130853908963324,-0.0475,0.02625,0.7121741898517049,0.0020170519507472,0.7086297173517049,0.7157459673517049,0.7103895472562102,0.0020170519507473,0.7068450747562102,0.7139613247562102,0.7128441960244613,0.0020170519507473,0.7092997235244611,0.7164159735244613,0.06896375,0.0066770743091686,0.049375,0.090625,flight6_probe1_overcrowding_40x40,40x40,1.0015066802207377,0.5503512928055376,variance_reducing_only
6,0.251163343397718,0.0031086344153471,0.2456077148726567,0.2561664100890441,-2.845942876409128,0.0296366105373613,-2.9177691582453544,-2.758550242291041,0.0667217445020501,0.0016656289699146,0.0626353895035082,0.0715277600369137,-0.01498,0.0244149909598003,-0.09,0.06,0.7060835402827585,0.0021818497772535,0.7021454602827586,0.7096054602827586,0.7065690527816076,0.0021818497772535,0.7026309727816076,0.7100909727816077,0.7060362885438769,0.0021818497772534,0.7020982085438771,0.709558208543877,0.065745,0.0127065095825542,0.0325,0.1075,flight6_probe1_overcrowding_20x20,F_2_symmetric,20x20,flight6_probe1_overcrowding,0.2494084736643395,0.0028306407025769,0.2446440456706337,0.2542516963867545,-2.8517215740926423,0.0188450399021599,-2.8982172090314005,-2.799898659362031,0.0665226455461699,0.001063660951725,0.0639393054947911,0.0694709991212311,-0.0134224999999999,0.01231484590278,-0.0525,0.02875,0.7052296523517049,0.0019792139529416,0.7019072173517048,0.7086147173517048,0.7034450097562102,0.0019792139529415,0.7001225747562103,0.7068300747562103,0.7058996585244612,0.0019792139529416,0.7025772235244613,0.7092847235244613,0.0664825,0.0062807864002536,0.0475,0.083125,flight6_probe1_overcrowding_40x40,40x40,1.0112175830861663,0.49429675076757523,variance_reducing_only
0,0.3188344334585187,0.0014563665838131,0.3165025911810286,0.3211836700593701,-2.532452891165925,0.0364431552362227,-2.596887757729476,-2.3319426822324623,0.0875297331800108,0.0027125008028938,0.0830315592297809,0.10296359721994,-0.0154,0.1241449136934719,-0.09,1.18,0.7489388602827586,0.000833709575671,0.7476154602827586,0.7503154602827585,0.7494243727816077,0.000833709575671,0.7481009727816077,0.7508009727816076,0.7488916085438769,0.000833709575671,0.747568208543877,0.7502682085438771,0.090425,0.0436701002004249,0.0575,0.4975,flight6_probe2_starvation_F2sym_20x20,F_2_symmetric,20x20,flight6_probe2_starvation_F2sym,0.3221798162143161,0.0009799671263398,0.320519729665264,0.3238793365332232,-2.515697922642736,0.0227566928715872,-2.550670479954249,-2.3382647645871684,0.0889005064869967,0.0017589834634889,0.0863586228508666,0.1029674893619956,-0.0069749999999999,0.1314695950369967,-0.05625,1.2875,0.751258754851705,0.0005676641692578,0.750303467351705,0.7522522173517049,0.7494741122562103,0.0005676641692578,0.7485188247562102,0.7504675747562102,0.7519287610244612,0.0005676641692578,0.7509734735244612,0.7529222235244614,0.09283125,0.0412984157825574,0.071875,0.495625,flight6_probe2_starvation_F2sym_40x40,40x40,1.0266104506497098,0.9456908867398379,variance_reducing_only
1,0.3085897000437189,0.0042381764118943,0.3019407044371379,0.3165614033259785,-2.5815583873251247,0.0335843939307093,-2.6785989158531383,-2.483162563502608,0.0837206958532295,0.0023938418837411,0.0770034764041735,0.0905137401396689,-0.0210875,0.0301687790908013,-0.11,0.105,0.7430472977827586,0.0024828243701931,0.7391404602827586,0.7476354602827585,0.7435328102816077,0.0024828243701931,0.7396259727816077,0.7481209727816076,0.7430000460438769,0.0024828243701931,0.7390932085438771,0.7475882085438771,0.0834812499999999,0.0140751749478303,0.045,0.1175,flight6_probe2_starvation_F2sym_20x20,F_2_symmetric,20x20,flight6_probe2_starvation_F2sym,0.3135230674421904,0.0039575464950901,0.306533978229574,0.3204605966954361,-2.558962613043738,0.0226666865519574,-2.6248655720274545,-2.498507488945619,0.0856184674719838,0.0016749032916163,0.0809754945732449,0.0900506645957006,-0.020396875,0.016005691625024,-0.065,0.035,0.7462333829767048,0.0023107680800086,0.7421309673517049,0.750267217351705,0.7444487403812103,0.0023107680800086,0.7403463247562102,0.7484825747562103,0.7469033891494612,0.0023107680800086,0.7428009735244612,0.7509372235244612,0.0851234375,0.0071489614277061,0.064375,0.101875,flight6_probe2_starvation_F2sym_40x40,40x40,1.019671333383246,0.5079127935676649,variance_reducing_only
2,0.2945613880841226,0.0039523027943579,0.2889648132871079,0.3019724586575827,-2.646371322663509,0.0321318964323594,-2.729334924129252,-2.5505409691724465,0.0791859274194538,0.0021174686319809,0.0739833970449583,0.0858465727295994,-0.01626,0.0289549508436245,-0.095,0.07,0.7345387602827587,0.0024672770866779,0.7309704602827586,0.7391554602827586,0.7350242727816076,0.0024672770866779,0.7314559727816077,0.7396409727816077,0.734491508543877,0.002467277086678,0.7309232085438769,0.7391082085438769,0.07901,0.0132351894765795,0.0475,0.115,flight6_probe2_starvation_F2sym_20x20,F_2_symmetric,20x20,flight6_probe2_starvation_F2sym,0.2985670288612608,0.0045252024204718,0.290992961423882,0.3064972973802836,-2.6280064158049568,0.0243091377562632,-2.682252223267434,-2.565626478673966,0.0805760282876499,0.0016957479761028,0.0769079292327544,0.0850538319167477,-0.0188075,0.0148586296980241,-0.07,0.02875,0.737336802351705,0.0027421551905755,0.7327184673517049,0.7421084673517049,0.7355521597562102,0.0027421551905756,0.7309338247562103,0.7403238247562102,0.7380068085244612,0.0027421551905756,0.7333884735244612,0.7427784735244614,0.08008375,0.0068091571747434,0.060625,0.0975,flight6_probe2_starvation_F2sym_40x40,40x40,1.0135900518921654,0.5144737207421648,variance_reducing_only
3,0.2826431087868308,0.0036427206544546,0.2764569712805991,0.2890452421878128,-2.7037100648526766,0.0324056262332486,-2.7844662024119016,-2.6115874290291345,0.0754517115763674,0.0020663305252929,0.0703516436559213,0.0814510185618651,-0.016,0.0285083400236106,-0.115,0.075,0.7269468102827586,0.002305784902269,0.7230254602827586,0.7310254602827585,0.7274323227816077,0.0023057849022691,0.7235109727816077,0.7315109727816076,0.726899558543877,0.002305784902269,0.722978208543877,0.7309782085438771,0.074085,0.0136784309753675,0.04,0.115,flight6_probe2_starvation_F2sym_20x20,F_2_symmetric,20x20,flight6_probe2_starvation_F2sym,0.283639250062376,0.0041173998437061,0.2766707011511597,0.2909751324549694,-2.695939249750496,0.0234564904354962,-2.757690443450429,-2.629843682370849,0.0759233669150583,0.0015175216132242,0.072012623601504,0.0802547719464756,-0.01808,0.0146927398127923,-0.06375,0.02875,0.7281284073517049,0.0026112726983909,0.7236759673517049,0.7327084673517049,0.7263437647562102,0.0026112726983909,0.7218913247562102,0.7309238247562102,0.7287984135244613,0.0026112726983908,0.7243459735244612,0.7333784735244612,0.07594625,0.0069064627808877,0.056875,0.095625,flight6_probe2_starvation_F2sym_40x40,40x40,1.0251231693325236,0.5049163016814612,variance_reducing_only
4,0.2706230003605434,0.0036212742786855,0.2641538750713001,0.2765308144913348,-2.7547604985578262,0.0310628191941341,-2.83446312305188,-2.654275981150748,0.0721756569736335,0.0019121950882828,0.0673275190778213,0.0784642368694188,-0.01611,0.0266051417424201,-0.105,0.075,0.7192164102827586,0.0023266216891598,0.7150304602827586,0.7230404602827586,0.7197019227816077,0.0023266216891598,0.7155159727816077,0.7235259727816076,0.719169158543877,0.0023266216891599,0.714983208543877,0.722993208543877,0.072425,0.0130373240596862,0.04,0.1125,flight6_probe2_starvation_F2sym_20x20,F_2_symmetric,20x20,flight6_probe2_starvation_F2sym,0.2701927944290591,0.0035914617954127,0.2647380684279923,0.2766662868881404,-2.757289603533764,0.0197573260183335,-2.8038409106744653,-2.7074700219301517,0.0720414369895665,0.0012011779727713,0.069173134832683,0.0751347835501702,-0.0158375,0.0136261904023009,-0.0575,0.035,0.7194111098517049,0.0023787369401491,0.7157659673517048,0.7236709673517049,0.7176264672562102,0.0023787369401492,0.7139813247562102,0.7218863247562102,0.7200811160244612,0.0023787369401492,0.7164359735244612,0.7243409735244611,0.07214,0.0062913282876707,0.05625,0.093125,flight6_probe2_starvation_F2sym_40x40,40x40,0.9960648947186744,0.4825628525354097,variance_reducing_only
5,0.2603456388669076,0.0022764867938712,0.2561607063013182,0.2640776291721526,-2.8032943195323696,0.0253983040962853,-2.867834824347359,-2.706953748906708,0.0691508795071716,0.0014811358048276,0.0655959728191227,0.0749028541955138,-0.01073,0.0252366971246937,-0.095,0.115,0.7124982102827586,0.0015662274817373,0.7095954602827586,0.7149704602827586,0.7129837227816076,0.0015662274817374,0.7100809727816076,0.7154559727816077,0.712450958543877,0.0015662274817372,0.7095482085438769,0.714923208543877,0.06886,0.0121323859804721,0.04,0.11,flight6_probe2_starvation_F2sym_20x20,F_2_symmetric,20x20,flight6_probe2_starvation_F2sym,0.2594472666968081,0.0029536911348866,0.2542657003981128,0.2647140962923052,-2.806495464462768,0.0188868872104561,-2.85562291768331,-2.744393684887927,0.0691019930672211,0.0011011024241416,0.0663248271850175,0.0727268218905023,-0.0143,0.0130853908963324,-0.0475,0.02625,0.7121741898517049,0.0020170519507472,0.7086297173517049,0.7157459673517049,0.7103895472562102,0.0020170519507473,0.7068450747562102,0.7139613247562102,0.7128441960244613,0.0020170519507473,0.7092997235244611,0.7164159735244613,0.06896375,0.0066770743091686,0.049375,0.090625,flight6_probe2_starvation_F2sym_40x40,40x40,1.0015066802207377,0.5503512928055376,variance_reducing_only
