run_id,window_start,window_end,W,steady_state_candidate,rho_mean,rho_sd,rho_cv,rho_min,rho_max,rho_range_over_mean,slope,relative_drift,Psi_meanI_state,Psi_meanI_state_z,Psi_meanI_state_null_E,Psi_meanI_state_null_SD,Psi_persistence_I,Psi_persistence_I_z,Psi_persistence_I_null_E,Psi_persistence_I_null_SD,P_mean,P_std,P_min,P_max,P_q25,P_q50,P_q75,share_P_gt_0.5,share_P_gt_0.8,share_P_gt_0.95,largest_component_P_gt_0.8
flight6_probe1_overcrowding_20x20,0,249,250,False,0.0851,0.014236923825040295,0.16729640217438654,0.045,0.1275,0.9694477085781434,-2.5970335525368388e-05,0.07629358262446648,-0.005847164718417213,-2.1667679403021007,-0.0023042995575898403,0.0016350921088178047,0.010039543290892317,0.8287276209084653,-0.008251365257161204,0.02207107388070729,0.08510000000000001,0.030712700955793516,0.024,0.192,0.064,0.08,0.1,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,250,499,250,False,0.08294,0.01413882597672098,0.1704705326346875,0.0475,0.1175,0.8439836026042922,-2.0336965391446268e-05,0.06130023327539868,-0.0019761128840240522,0.34515104797879104,-0.0024528957877737894,0.0013813746373994341,-0.0514109673315419,-2.0410057091612024,-0.0022279905292108444,0.02409742245284748,0.08294,0.027663629552175543,0.02,0.208,0.064,0.08,0.1,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,500,749,250,False,0.08063,0.013117854245264352,0.16269197873327984,0.0475,0.115,0.8371573855884907,-1.616185858973744e-05,0.050111182530501806,-0.0010643027059870501,1.0086837728344675,-0.0027189770125967596,0.0016404291921540148,-0.017100900041128395,-0.7480476538974822,-0.002083410434453527,0.020075578779547878,0.08063,0.027547106926136544,0.02,0.196,0.06,0.076,0.096,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,750,999,250,False,0.07746,0.013147182207606313,0.16972866263369885,0.0475,0.1125,0.839142783372063,1.0905774492391898e-06,0.0035198084470668403,0.0002896106192433193,2.2331711844613173,-0.0028643610865190443,0.001412328677581052,0.029635389722435707,1.4911616324217163,-0.00596262541725699,0.02387267373683687,0.07746,0.024855349524800494,0.028,0.176,0.06,0.076,0.092,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1000,1249,250,False,0.075,0.013619838471876236,0.18159784629168316,0.04,0.115,1.0000000000000002,-9.59439351029617e-06,0.03198131170098723,-0.00233612917004351,0.10768781788352183,-0.002522758054422294,0.0017330547507299952,-0.02011043586224923,-0.6288707972393431,-0.003667081417942593,0.026147428878063216,0.075,0.02474105899107797,0.024,0.212,0.06,0.072,0.088,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1250,1499,250,False,0.07311000000000001,0.013607090063639617,0.18611804217808256,0.04,0.1125,0.9916564081520995,-2.6028896462343407e-05,0.089005937841415,-0.00198572702535575,0.625152312821334,-0.002749617812109854,0.0012219274744528072,0.005283599310500649,0.4796199878595889,-0.007089052364524017,0.025796780760202222,0.07311,0.023978488275952677,0.02,0.168,0.056,0.072,0.088,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1500,1749,250,False,0.07393000000000001,0.012908528188759552,0.17460473676125457,0.0425,0.1125,0.94684160692547,1.2519560312965005e-05,0.04233585930260045,-0.002805866640876383,-0.3912028739382437,-0.0021307675524658573,0.0017257007383772404,-0.006356260896592885,-0.2565860687925274,0.0011409094634665733,0.02921892991049949,0.07393,0.023748581010241434,0.016,0.18,0.056,0.072,0.088,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1750,1999,250,False,0.07091,0.012963290477344092,0.18281329117676057,0.04,0.1075,0.9519108729375265,-5.174482791724691e-07,0.0018243134930632813,-0.0041047392825542895,-1.2776457864386153,-0.0020732013432287564,0.0015900635065594832,0.014076269959528553,0.8940048870366083,-0.005442350913819507,0.021832789905709766,0.07091000000000001,0.0243584051202044,0.024,0.168,0.052,0.068,0.084,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,2000,2249,250,False,0.06846000000000001,0.012660110584035196,0.1849271192526321,0.04,0.11,1.0224948875255624,-5.331925310804963e-06,0.019470951324879353,0.0010711131104999287,2.561614687769244,-0.0024644640053083657,0.0013802142580964102,-0.018059564907708284,-0.3600400859445898,-0.008063811123360118,0.027762891340622868,0.06846000000000001,0.02281640637786766,0.028,0.152,0.052,0.066,0.08,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,2250,2499,250,False,0.06928,0.01155125967156829,0.16673296292679404,0.04,0.105,0.9382217090069285,2.3407094513512222e-05,0.0844655546821313,-0.0012887470516754326,0.6723380839749801,-0.0022480979720832087,0.0014268876674900313,-0.020233553355990308,-0.7330330107445496,0.0005723560992668589,0.02838331855495072,0.06928000000000001,0.02318709986177659,0.02,0.168,0.052,0.064,0.084,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,2500,2749,250,False,0.06692000000000002,0.012929176307870504,0.19320347142663627,0.035,0.1025,1.0086670651524203,-2.1698267172274767e-05,0.08106047210204259,-0.001329159694823654,0.6307988456369508,-0.002232293441841755,0.0014317301835043137,-0.029887471505771278,-1.3315754411984533,0.0011180041297585092,0.023284805859459252,0.06692000000000001,0.02153958216864942,0.016,0.148,0.052,0.064,0.081,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,2750,2999,250,False,0.06453,0.012316821830326199,0.19086970138425846,0.0325,0.1075,1.1622501162250114,1.8619497911966603e-05,0.07213504537411515,-0.005234320026970867,-1.6769779783993144,-0.002991543482032466,0.0013373917689003553,-0.022740125249512626,-0.5933758958828235,-0.007022715872269025,0.026488115689059576,0.06453,0.020622296186409504,0.02,0.148,0.052,0.064,0.076,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,0,499,500,False,0.08402,0.014229005587180012,0.16935260160890278,0.045,0.1275,0.9819090692692217,-1.2268369073476291e-05,0.07300862338417216,-0.003911638801220633,-1.4018201193119095,-0.0025030607159423016,0.0010048208510302582,-0.028138250178785566,-1.12484292430015,-0.005211667344629008,0.02038203053854912,0.08402000000000001,0.026473375304256162,0.026,0.176,0.066,0.078,0.1,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,250,749,500,False,0.081785,0.013686718927485872,0.16734998994297087,0.0475,0.1175,0.8559026716390535,-1.1492325969303881e-05,0.0702593750033862,-0.001520207795005551,0.6651951316157889,-0.002242166768380556,0.0010853341208636545,-0.04497104989834486,-1.5724150382407052,-0.007462451683259937,0.023854133484408405,0.081785,0.025035250647836543,0.036,0.202,0.064,0.078,0.096,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,500,999,500,False,0.079045,0.01322782956497399,0.16734555715066088,0.0475,0.115,0.853943955974445,-1.1393925575702302e-05,0.07207239911254539,-0.0003873460433718653,2.0575055974924363,-0.0025949382046525932,0.0010729458835840875,-0.008675064844315346,-0.29306842185387594,-0.0013598093204376864,0.024960913487721476,0.07904499999999999,0.023746957173499093,0.034,0.184,0.062,0.075,0.092,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,750,1249,500,False,0.07623,0.013441990180029145,0.17633464751448438,0.04,0.115,0.9838646202282567,-8.442993771975082e-06,0.055378419073691995,-0.0010232592754000952,1.5186554550258222,-0.0026805153469649044,0.0010912653466461425,-0.017845108550704213,-0.6140458923217956,-0.002378041217859063,0.025188780718590834,0.07623,0.02195010478334898,0.032,0.18,0.062,0.074,0.086,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1000,1499,500,False,0.07405500000000001,0.01364622566866018,0.184271496437245,0.04,0.115,1.01276078590237,-1.0122880491521969e-05,0.0683470426812637,-0.00216092809769963,0.3561918088511947,-0.0025374376196712328,0.0010570414945417685,-0.022181550120525376,-0.9738392573483352,0.0017317556265949506,0.024555701124879495,0.074055,0.02168748429394244,0.03,0.176,0.06,0.07,0.086,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1250,1749,500,False,0.07352,0.013268745230804608,0.1804780363275926,0.04,0.1125,0.9861262241566922,7.713630854523399e-07,0.005245940461454978,-0.0023957968331160665,0.2007706313377574,-0.0026002509104737616,0.0010183465380140236,-0.005427729549965739,-0.15272019419515803,-0.00194824473912567,0.02278339697757132,0.07352,0.02069854101138532,0.034,0.162,0.058,0.07100000000000001,0.084,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1500,1999,500,False,0.07242000000000001,0.01302377057537486,0.17983665527996212,0.04,0.1125,1.0011046672190003,-7.559790239160955e-06,0.05219407787324602,-0.003455302961715336,-1.1064485491289973,-0.0022722801640070295,0.001069207238456401,0.0012763337931315628,0.06367852273529041,-0.00018970198053291663,0.0230224526369549,0.07242,0.02077940326380909,0.032,0.168,0.058,0.07,0.084,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1750,2249,500,False,0.069685,0.01287102462898739,0.18470294366057818,0.04,0.11,1.0045203415369162,-8.081192324769294e-06,0.057983729100733974,-0.0015168130860271807,1.0463750124998612,-0.0025595436209940514,0.0009965170445686738,-0.013093181182965022,-0.6026421803181016,0.0046286896694642775,0.02940695396242411,0.06968500000000001,0.020264520102879317,0.03,0.16,0.056,0.066,0.082,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,2000,2499,500,False,0.06887,0.012125308243504574,0.17606081375787097,0.04,0.11,1.0164077246987078,4.719378877515511e-06,0.03426295104919058,-0.00010881697058775186,2.16815528999261,-0.002627423060867956,0.0011616354704412286,-0.030316949028963546,-0.911395814852856,-0.004543660053229258,0.028278919604096887,0.06887,0.020182742628295093,0.032,0.148,0.054,0.066,0.08,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,2250,2749,500,False,0.06810000000000001,0.012316249429107872,0.18085535138190706,0.035,0.105,1.027900146842878,-6.866427465709866e-06,0.050414298573493874,-0.0013089533732495438,1.0032579626171938,-0.002569005620513519,0.0012559603753125304,-0.06627472312885316,-3.195981182170549,-0.006738531047200032,0.018628455140408288,0.06810000000000001,0.018933303990587593,0.022,0.134,0.054,0.064,0.08,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,2500,2999,500,False,0.06572499999999999,0.012683133485065905,0.192972742260417,0.0325,0.1075,1.1411182959300115,-7.55487021948088e-06,0.05747333753884276,-0.0032817398608972603,-0.6751372456505996,-0.002629430342602429,0.0009661880195429446,-0.036710022168484284,-1.3968342216673248,0.0007146809501027061,0.026792515917826786,0.06572499999999999,0.01813875340259082,0.03,0.134,0.052,0.064,0.076,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,0,749,750,False,0.08289,0.01396028533614792,0.16841941532329496,0.045,0.1275,0.9952949692363373,-1.0260320462791931e-05,0.09283677581244962,-0.0029625267694761053,-0.43531386518130105,-0.0025309378483908225,0.000991443084188309,-0.033428186951192415,-1.1955742645599454,-0.003368799040237426,0.025142217260772953,0.08289000000000002,0.02486637868465951,0.034666666666666665,0.18266666666666667,0.06533333333333333,0.07866666666666666,0.09733333333333333,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,250,999,750,False,0.08034333333333332,0.013662251725913345,0.1700483557139777,0.0475,0.1175,0.8712608388997221,-1.1053637428688765e-05,0.10318501520370794,-0.0009169349902559277,1.833889222465394,-0.0024319775522329366,0.0008261363573205678,-0.03229204241722922,-1.6104227400743092,0.001086060251058951,0.02072629865295371,0.08034333333333332,0.022963205109237012,0.03866666666666667,0.192,0.064,0.076,0.09333333333333334,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,500,1249,750,False,0.07769666666666666,0.013495171564509861,0.1736904830474477,0.04,0.115,0.9652923763353213,-1.09224371954439e-05,0.10543345355763342,-0.00103694041892908,1.669119315996727,-0.0023665601185012914,0.000796599552128614,-0.031568704292851864,-1.1732495365185351,-0.0029141230453531473,0.02442326236286225,0.07769666666666666,0.022045135265833342,0.04,0.18133333333333335,0.06233333333333333,0.07333333333333333,0.08933333333333333,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,750,1499,750,False,0.07518999999999999,0.013577146239177069,0.1805711695594769,0.04,0.115,0.9974730682271581,-9.012318244121324e-06,0.0898954473080329,-0.0013440818587186465,1.2377266796568862,-0.0024174065832579267,0.0008671742656761827,-0.020565346481973296,-0.7706343240990345,-6.0767660188942796e-05,0.026607404031421398,0.07519,0.020543652980367873,0.03866666666666667,0.168,0.06133333333333333,0.07133333333333333,0.08533333333333333,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1000,1749,750,False,0.07401333333333333,0.013404967570104584,0.1811155769695269,0.04,0.115,1.0133309313637184,-2.7579071251682235e-06,0.027946725957613505,-0.002375907612091881,0.22436755086717342,-0.002556380590068225,0.0008043630965298761,-0.026533655448545,-0.9647101518789523,-0.004504593733816809,0.022834901935905306,0.07401333333333333,0.02025284177590888,0.03333333333333333,0.16666666666666666,0.06,0.06933333333333333,0.08266666666666667,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1250,1999,750,False,0.07264999999999999,0.013225070888278822,0.18203814023783652,0.04,0.1125,0.9979353062629046,-4.430621209993262e-06,0.04573937931858151,-0.0029654443162621404,-0.5443521972036247,-0.002462320733527188,0.0009242611407091467,-0.00633590274400225,-0.15230339999967835,-0.0024297838278575447,0.025646958085984647,0.07265,0.019517734101182044,0.03866666666666667,0.16266666666666665,0.06,0.06933333333333333,0.084,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1500,2249,750,False,0.0711,0.01303802132227126,0.18337582731745797,0.04,0.1125,1.019690576652602,-9.477421293193418e-06,0.09997279845140737,-0.0019464976043102483,0.7872039208203704,-0.0026219363388241385,0.0008580225741380886,-0.014101752035859009,-0.7255837131417194,0.0033819291462990047,0.024096022092964395,0.0711,0.019147352587527894,0.03866666666666667,0.15466666666666667,0.05733333333333333,0.06733333333333333,0.08,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,1750,2499,750,False,0.06954999999999999,0.012448125695595034,0.17898095895895091,0.04,0.11,1.0064701653486703,-2.24750621778883e-06,0.024236228085429516,-0.0014407910745765978,1.0796311818001407,-0.002284173018334868,0.0007811759774778304,-0.02449816905998966,-0.7410863445033279,-0.0029648903216264533,0.029056369609393756,0.06955,0.019031954123993094,0.034666666666666665,0.15466666666666667,0.056,0.06533333333333333,0.08,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,2000,2749,750,False,0.06822,0.012433084894747563,0.18224985187258227,0.035,0.11,1.0993843447669305,-2.871969550168092e-06,0.031573983621021234,-0.000515597878666386,2.145865077473355,-0.002385270291331534,0.000871290759280444,-0.059121577106902794,-2.18047472022435,0.000784436170917253,0.02747383985798115,0.06822,0.018227587150616873,0.02666666666666667,0.13066666666666665,0.05466666666666667,0.064,0.07733333333333334,0.0,0.0,0.0,0
flight6_probe1_overcrowding_20x20,2250,2999,750,False,0.06691000000000001,0.012430884924252174,0.18578515803694773,0.0325,0.1075,1.1209086833059332,-7.691569229456399e-06,0.08621546737546402,-0.002617408924489984,-0.183701943063038,-0.002453301392902516,0.0008933358507326952,-0.059932392281516846,-2.4018618293312097,-0.003823379911424737,0.023360632857767457,0.06691,0.017499165376922664,0.030666666666666665,0.128,0.05466666666666667,0.064,0.07733333333333334,0.0,0.0,0.0,0
